<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20190111;0;170.05;3416990
SBERP;D;20190114;0;170;2494440
SBERP;D;20190115;0;171.8;4288720
SBERP;D;20190116;0;173.1;3426880
SBERP;D;20190117;0;174.48;3889050
SBERP;D;20190118;0;178.7;5648010
SBERP;D;20190121;0;179.01;4480980
SBERP;D;20190122;0;179.11;3382930
SBERP;D;20190123;0;182.01;5337210
SBERP;D;20190124;0;181.93;4709330
SBERP;D;20190125;0;181.12;4660270
SBERP;D;20190128;0;179.84;4011130
SBERP;D;20190129;0;184.2;8008420
SBERP;D;20190130;0;182.81;5122710
SBERP;D;20190131;0;186.11;4640390
SBERP;D;20190201;0;185;3158660
SBERP;D;20190204;0;184.1;2773850
SBERP;D;20190205;0;186;4020970
SBERP;D;20190206;0;185.77;2279910
SBERP;D;20190207;0;181.6;6772990
SBERP;D;20190208;0;181.7;3694760
SBERP;D;20190211;0;182.55;4091660
SBERP;D;20190212;0;186.5;5487490
SBERP;D;20190213;0;182.87;6955020
SBERP;D;20190214;0;176.7;16040740
SBERP;D;20190215;0;178.78;7147310
SBERP;D;20190218;0;177.12;3693930
SBERP;D;20190219;0;175.16;4735620
SBERP;D;20190220;0;178;4612040
SBERP;D;20190221;0;175.7;3422010
SBERP;D;20190222;0;176.99;2052510
SBERP;D;20190225;0;177.46;3800100
SBERP;D;20190226;0;177.64;2618710
SBERP;D;20190227;0;177.78;2063960
SBERP;D;20190228;0;180.15;4696210
SBERP;D;20190301;0;179.85;3667560
SBERP;D;20190304;0;179.1;1984310
SBERP;D;20190305;0;177.2;2968880
SBERP;D;20190306;0;178;3176790
SBERP;D;20190307;0;177.83;4795630
SBERP;D;20190311;0;178.99;3230840
SBERP;D;20190312;0;179.14;2047130
SBERP;D;20190313;0;179.95;2417920
SBERP;D;20190314;0;178.56;2856660
SBERP;D;20190315;0;179.05;2473400
SBERP;D;20190318;0;180.9;3846630
SBERP;D;20190319;0;182.15;4850910
SBERP;D;20190320;0;184.83;4631010
SBERP;D;20190321;0;184.01;5617740
SBERP;D;20190322;0;183.5;5376490
SBERP;D;20190325;0;187;6705180
SBERP;D;20190326;0;190.9;10316210
SBERP;D;20190327;0;189;6754350
SBERP;D;20190328;0;189.43;3798100
SBERP;D;20190329;0;188.2;7280630
SBERP;D;20190401;0;190.22;3545570
SBERP;D;20190402;0;191.64;4349870
SBERP;D;20190403;0;193.5;9279490
SBERP;D;20190404;0;194.9;4413340
SBERP;D;20190405;0;198.59;5369240
SBERP;D;20190408;0;201.61;6170940
SBERP;D;20190409;0;205.7;9340770
SBERP;D;20190410;0;206.4;13022550
SBERP;D;20190411;0;203;11054520
SBERP;D;20190412;0;204.81;6530700
SBERP;D;20190415;0;204.95;7153010
SBERP;D;20190416;0;202.7;7059040
SBERP;D;20190417;0;203.1;4858590
SBERP;D;20190418;0;200.6;3868360
SBERP;D;20190419;0;202.15;2205620
SBERP;D;20190422;0;204.75;3325010
SBERP;D;20190423;0;205.88;6004310
SBERP;D;20190424;0;205.49;3436550
SBERP;D;20190425;0;200.47;5407850
SBERP;D;20190426;0;197.22;7406680
SBERP;D;20190429;0;201.29;3809340
SBERP;D;20190430;0;198.39;4147030
SBERP;D;20190502;0;200.15;3518590
SBERP;D;20190503;0;203.07;3918480
SBERP;D;20190506;0;203;4078040
SBERP;D;20190507;0;202.97;4411720
SBERP;D;20190508;0;202.9;2692340
SBERP;D;20190510;0;199.01;3268920
SBERP;D;20190513;0;198.89;3969860
SBERP;D;20190514;0;201;6084800
SBERP;D;20190515;0;201.3;5773050
SBERP;D;20190516;0;200.52;5092330
SBERP;D;20190517;0;199.23;6308620
SBERP;D;20190520;0;199;3392640
SBERP;D;20190521;0;202.65;6110600
SBERP;D;20190522;0;204.43;6870840
SBERP;D;20190523;0;200.9;6188260
SBERP;D;20190524;0;205.59;7703470
SBERP;D;20190527;0;207.01;4578910
SBERP;D;20190528;0;206;4889490
SBERP;D;20190529;0;205.73;4833020
SBERP;D;20190530;0;205.75;3595150
SBERP;D;20190531;0;205.51;6272000
SBERP;D;20190603;0;211.3;10916630
SBERP;D;20190604;0;209.21;8396240
SBERP;D;20190605;0;211;8047820
SBERP;D;20190606;0;216.33;9063150
SBERP;D;20190607;0;219.6;11303650
SBERP;D;20190610;0;220.1;11401040
SBERP;D;20190611;0;206.71;12434530
SBERP;D;20190613;0;208.45;10166860
SBERP;D;20190614;0;207.47;8888290
SBERP;D;20190617;0;206.6;3519550
SBERP;D;20190618;0;207.9;5713190
SBERP;D;20190619;0;207.08;4129680
SBERP;D;20190620;0;208.95;10459790
SBERP;D;20190621;0;206.61;5313670
SBERP;D;20190624;0;207.14;3035790
SBERP;D;20190625;0;205;4819810
SBERP;D;20190626;0;207;3448350
SBERP;D;20190627;0;206.73;3835070
SBERP;D;20190628;0;205.6;2095540
